Brand,Car Model,Price
Volkswagen,Polo Highline Breeze,"6,77,200"
Volkswagen,Polo Diesel Highline 1.2L,"7,06,200"
Hyundai,i20 Era Petrol,"4,59,205"
Hyundai,i20 Magna,"4,99,205"
Hyundai,i20 Sportz Option,"5,27,676"
Hyundai,i20 Sportz Petrol,"5,42,706"
Hyundai,i20 Era Diesel,"5,70,359"
Hyundai,i20 Asta,"5,84,208"
Hyundai,i20 Asta (o),"5,93,737"
Hyundai,i20 Magna 1.4 CRDi (Diesel),"6,10,354"
Hyundai,i20 1.4 Asta AT (O) with Sunroof,"6,29,164"
Hyundai,i20 Sportz Option Diesel,"6,38,821"
Hyundai,i20 Sportz Diesel,"6,53,856"
Hyundai,i20 Asta 1.4 CRDi (Diesel),"6,95,862"
Hyundai,i20 Asta (o) 1.4 CRDi (Diesel),"7,34,540"
Hyundai,i20 1.4 Asta (AT),"7,59,754"
Premier,Rio Petrol GX,"4,70,000"
Premier,Rio Petrol GLX,"5,10,000"
Premier,Rio EX,"5,25,000"
Premier,Rio LX,"5,95,000"
Premier,Rio DX,"6,01,000"
Tata,Indigo GLS,"4,70,922"
Tata,Indigo GLX,"5,07,667"
Tata,Indigo LS,"5,13,173"
Tata,Indigo LS Dicor,"5,31,841"
Tata,Indigo LX,"5,47,900"
Tata,Indigo LX Dicor,"5,89,227"
Tata,Indigo V Series VS,"4,76,048"
Mahindra,Verito 1.4 G2 BSIII,"4,82,100"
Mahindra,Verito 1.4 G2 BSIV,"4,91,693"
Mahindra,Verito 1.4 G4 BSIII,"5,07,100"
Mahindra,Verito 1.4 G4 BSIV,"5,16,693"
Mahindra,Verito 1.4 G4 Play BSIII,"5,57,100"
Mahindra,Verito 1.5 D2 BSIII,"5,61,800"
Mahindra,Verito 1.5 D2 BSIV,"5,83,393"
Mahindra,Verito 1.5 D4 BSIII,"5,91,800"
Mahindra,Verito 1.5 D4 BSIV,"6,13,393"
Mahindra,Verito 1.5 D4 Play BSIII,"6,41,800"
Mahindra,Verito 1.5 D6 BSIII,"6,47,800"
Mahindra,Verito 1.5 D6 BSIV,"6,69,393"
Tata,Sumo SE Plus BSII,"4,86,135"
Tata,Sumo SE Plus BSIII,"5,01,531"
Tata,Indigo Marina GLS,"4,86,773"
Tata,Indigo Marina GLX,"5,22,107"
Tata,Indigo Marina LS,"5,32,799"
Tata,Indigo Marina LX,"5,72,953"
Tata,Indigo Marina LX Dicor,"6,22,976"
Tata,Sumo Victa DI CX 7/9 Str BSII,"4,89,057"
Tata,Sumo Victa DI LX 7/9 Str BSII,"5,20,057"
Tata,Sumo Victa DI LX 7/9 Str BSIII,"5,31,615"
Tata,Sumo Victa DI EX 7/9 Str BSII,"5,60,057"
Tata,Sumo Victa DI EX 7/9 Str BSIII,"5,71,615"
Tata,Sumo Victa DI CX 7/9 Str BSIII,"5,90,615"
Tata,Sumo Victa DI GX 7/9 Str BSII,"5,94,057"
Tata,Sumo Victa DI GX 7/9 Str BSIII,"6,05,615"
Mahindra,Bolero DI BSIII,"4,94,000"
Mahindra,Bolero DI BSII,"5,27,145"
Mahindra,Bolero Plus - AC BSII,"5,86,452"
Mahindra,Bolero Plus - AC BSIII,"6,01,828"
Mahindra,Bolero SLE BSIII,"6,18,914"
Mahindra,Bolero SLE,"6,32,844"
Mahindra,Bolero SLX 2WD BSIII,"6,66,841"
Mahindra,Bolero SLX,"6,80,771"
Mahindra,Bolero ZLX BSIII,"6,82,164"
Mahindra,Bolero ZLX,"6,96,093"
Maruti,Swift Dzire LXI,"4,94,557"
Maruti,Swift Dzire VXI,"5,47,227"
Maruti,Swift Dzire LDI,"5,85,721"
Maruti,Swift Dzire VDI,"6,36,630"
Maruti,Swift Dzire ZXI,"6,39,770"
Maruti,Swift Dzire ZDI,"7,19,873"
Ford,New Ikon 1.3 Rocam,"4,97,466"
Ford,New Ikon iKool 1.3 Rocam,"5,14,466"
Ford,New Ikon 1.4 Duratorq TDCi,"5,59,145"
Ford,New Ikon iKool 1.4 Duratorq TDCi,"5,76,145"
Toyota,Etios J,"4,99,000"
Toyota,Etios G,"5,54,335"
Toyota,Etios G Safety,"5,99,900"
Toyota,Etios Diesel,"6,44,335"
